nameWithOwner;stargazers;pullRequests
freeCodeCamp/freeCodeCamp;{'totalCount': 386374};{'totalCount': 35768}
sindresorhus/awesome;{'totalCount': 297507};{'totalCount': 1984}
public-apis/public-apis;{'totalCount': 289907};{'totalCount': 2883}
jwasham/coding-interview-university;{'totalCount': 281707};{'totalCount': 939}
kamranahmedse/developer-roadmap;{'totalCount': 272407};{'totalCount': 2700}
996icu/996.ICU;{'totalCount': 268947};{'totalCount': 1970}
donnemartin/system-design-primer;{'totalCount': 251178};{'totalCount': 300}
donnemartin/system-design-primer;{'totalCount': 251178};{'totalCount': 300}
vinta/awesome-python;{'totalCount': 203240};{'totalCount': 1493}
tensorflow/tensorflow;{'totalCount': 182053};{'totalCount': 25077}
ohmyzsh/ohmyzsh;{'totalCount': 168204};{'totalCount': 6815}
TheAlgorithms/Python;{'totalCount': 177380};{'totalCount': 9161}
trekhleb/javascript-algorithms;{'totalCount': 181401};{'totalCount': 509}
ohmyzsh/ohmyzsh;{'totalCount': 168204};{'totalCount': 6815}
Significant-Gravitas/AutoGPT;{'totalCount': 160541};{'totalCount': 3601}
microsoft/vscode;{'totalCount': 157667};{'totalCount': 28401}
practical-tutorials/project-based-learning;{'totalCount': 163824};{'totalCount': 328}
flutter/flutter;{'totalCount': 161241};{'totalCount': 51918}
microsoft/vscode;{'totalCount': 157667};{'totalCount': 28401}
jlevy/the-art-of-command-line;{'totalCount': 148008};{'totalCount': 462}
jackfrued/Python-100-Days;{'totalCount': 149216};{'totalCount': 147}
airbnb/javascript;{'totalCount': 141481};{'totalCount': 1481}
AUTOMATIC1111/stable-diffusion-webui;{'totalCount': 127894};{'totalCount': 2851}
ytdl-org/youtube-dl;{'totalCount': 128144};{'totalCount': 4418}
Snailclimb/JavaGuide;{'totalCount': 142618};{'totalCount': 1281}
puppeteer/puppeteer;{'totalCount': 86601};{'totalCount': 5449}
trimstray/the-book-of-secret-knowledge;{'totalCount': 127767};{'totalCount': 204}
microsoft/PowerToys;{'totalCount': 103748};{'totalCount': 5094}
trimstray/the-book-of-secret-knowledge;{'totalCount': 127767};{'totalCount': 204}
trimstray/the-book-of-secret-knowledge;{'totalCount': 127767};{'totalCount': 204}
justjavac/free-programming-books-zh_CN;{'totalCount': 108953};{'totalCount': 432}
justjavac/free-programming-books-zh_CN;{'totalCount': 108953};{'totalCount': 432}
d3/d3;{'totalCount': 107539};{'totalCount': 1161}
puppeteer/puppeteer;{'totalCount': 86601};{'totalCount': 5449}
electron/electron;{'totalCount': 111738};{'totalCount': 21460}
nodejs/node;{'totalCount': 103346};{'totalCount': 32458}
f/awesome-chatgpt-prompts;{'totalCount': 102738};{'totalCount': 281}
kubernetes/kubernetes;{'totalCount': 106365};{'totalCount': 78254}
mrdoob/three.js;{'totalCount': 98529};{'totalCount': 15509}
goldbergyoni/nodebestpractices;{'totalCount': 96072};{'totalCount': 918}
angular/angular;{'totalCount': 94354};{'totalCount': 26584}
angular/angular;{'totalCount': 94354};{'totalCount': 26584}
microsoft/TypeScript;{'totalCount': 97642};{'totalCount': 16986}
iluwatar/java-design-patterns;{'totalCount': 86244};{'totalCount': 1932}
mui/material-ui;{'totalCount': 91381};{'totalCount': 21656}
denoland/deno;{'totalCount': 92782};{'totalCount': 12346}
mui/material-ui;{'totalCount': 91381};{'totalCount': 21656}
storybookjs/storybook;{'totalCount': 82624};{'totalCount': 12022}
laravel/laravel;{'totalCount': 76647};{'totalCount': 4728}
gohugoio/hugo;{'totalCount': 72196};{'totalCount': 5028}
langchain-ai/langchain;{'totalCount': 81438};{'totalCount': 10907}
fatedier/frp;{'totalCount': 79032};{'totalCount': 832}
nvbn/thefuck;{'totalCount': 82595};{'totalCount': 605}
PanJiaChen/vue-element-admin;{'totalCount': 86118};{'totalCount': 475}
langchain-ai/langchain;{'totalCount': 81438};{'totalCount': 10907}
leonardomso/33-js-concepts;{'totalCount': 61714};{'totalCount': 366}
animate-css/animate.css;{'totalCount': 79665};{'totalCount': 848}
protocolbuffers/protobuf;{'totalCount': 63432};{'totalCount': 10101}
moby/moby;{'totalCount': 67623};{'totalCount': 24366}
microsoft/Web-Dev-For-Beginners;{'totalCount': 81260};{'totalCount': 780}
mtdvio/every-programmer-should-know;{'totalCount': 76674};{'totalCount': 142}
ripienaar/free-for-dev;{'totalCount': 82681};{'totalCount': 3158}
macrozheng/mall;{'totalCount': 75056};{'totalCount': 110}
rustdesk/rustdesk;{'totalCount': 62021};{'totalCount': 2720}
bitcoin/bitcoin;{'totalCount': 75289};{'totalCount': 20193}
atom/atom;{'totalCount': 59952};{'totalCount': 5249}
coder/code-server;{'totalCount': 65014};{'totalCount': 1819}
neovim/neovim;{'totalCount': 75900};{'totalCount': 16557}
coder/code-server;{'totalCount': 65014};{'totalCount': 1819}
doocs/advanced-java;{'totalCount': 74043};{'totalCount': 118}
doocs/advanced-java;{'totalCount': 74043};{'totalCount': 118}
DopplerHQ/awesome-interview-questions;{'totalCount': 66279};{'totalCount': 209}
opencv/opencv;{'totalCount': 75177};{'totalCount': 14645}
nvm-sh/nvm;{'totalCount': 75225};{'totalCount': 1004}
hakimel/reveal.js;{'totalCount': 66777};{'totalCount': 968}
ansible/ansible;{'totalCount': 60956};{'totalCount': 50223}
sdmg15/Best-websites-a-programmer-should-visit;{'totalCount': 55986};{'totalCount': 850}
sveltejs/svelte;{'totalCount': 76137};{'totalCount': 4571}
florinpop17/app-ideas;{'totalCount': 74648};{'totalCount': 324}
mermaid-js/mermaid;{'totalCount': 66502};{'totalCount': 2356}
rustdesk/rustdesk;{'totalCount': 62021};{'totalCount': 2720}
FortAwesome/Font-Awesome;{'totalCount': 72952};{'totalCount': 655}
twitter/the-algorithm;{'totalCount': 61206};{'totalCount': 335}
vuejs/awesome-vue;{'totalCount': 70814};{'totalCount': 3824}
expressjs/express;{'totalCount': 63631};{'totalCount': 1216}
supabase/supabase;{'totalCount': 64961};{'totalCount': 9629}
jaywcjlove/awesome-mac;{'totalCount': 70868};{'totalCount': 928}
mermaid-js/mermaid;{'totalCount': 66502};{'totalCount': 2356}
home-assistant/core;{'totalCount': 68297};{'totalCount': 66230}
oven-sh/bun;{'totalCount': 69990};{'totalCount': 3238}
gohugoio/hugo;{'totalCount': 72196};{'totalCount': 5028}
moby/moby;{'totalCount': 67623};{'totalCount': 24366}
lydiahallie/javascript-questions;{'totalCount': 59297};{'totalCount': 511}
vuejs/awesome-vue;{'totalCount': 70814};{'totalCount': 3824}
junegunn/fzf;{'totalCount': 59162};{'totalCount': 800}
NationalSecurityAgency/ghidra;{'totalCount': 47255};{'totalCount': 1007}
h5bp/Front-end-Developer-Interview-Questions;{'totalCount': 58896};{'totalCount': 684}
jquery/jquery;{'totalCount': 58829};{'totalCount': 2966}
rustdesk/rustdesk;{'totalCount': 62021};{'totalCount': 2720}
reduxjs/redux;{'totalCount': 60416};{'totalCount': 2522}
FuelLabs/sway;{'totalCount': 63102};{'totalCount': 3072}
Anduin2017/HowToCook;{'totalCount': 59765};{'totalCount': 651}
vitejs/vite;{'totalCount': 64357};{'totalCount': 5483}
python/cpython;{'totalCount': 59299};{'totalCount': 48334}
2dust/v2rayN;{'totalCount': 60464};{'totalCount': 261}
junegunn/fzf;{'totalCount': 59162};{'totalCount': 800}
protocolbuffers/protobuf;{'totalCount': 63432};{'totalCount': 10101}
enaqx/awesome-react;{'totalCount': 61663};{'totalCount': 1276}
anuraghazra/github-readme-stats;{'totalCount': 64306};{'totalCount': 2015}
sdmg15/Best-websites-a-programmer-should-visit;{'totalCount': 55986};{'totalCount': 850}
bradtraversy/design-resources-for-developers;{'totalCount': 55953};{'totalCount': 1293}
enaqx/awesome-react;{'totalCount': 61663};{'totalCount': 1276}
leonardomso/33-js-concepts;{'totalCount': 61714};{'totalCount': 366}
twitter/the-algorithm;{'totalCount': 61206};{'totalCount': 335}
TheAlgorithms/Java;{'totalCount': 56455};{'totalCount': 3828}
ggerganov/llama.cpp;{'totalCount': 54587};{'totalCount': 2689}
chrislgarry/Apollo-11;{'totalCount': 56318};{'totalCount': 437}
ansible/ansible;{'totalCount': 60956};{'totalCount': 50223}
enaqx/awesome-react;{'totalCount': 61663};{'totalCount': 1276}
lydiahallie/javascript-questions;{'totalCount': 59297};{'totalCount': 511}
resume/resume.github.com;{'totalCount': 61308};{'totalCount': 171}
microsoft/playwright;{'totalCount': 61220};{'totalCount': 13849}
atom/atom;{'totalCount': 59952};{'totalCount': 5249}
rails/rails;{'totalCount': 54817};{'totalCount': 33327}
h5bp/html5-boilerplate;{'totalCount': 55924};{'totalCount': 1687}
h5bp/Front-end-Developer-Interview-Questions;{'totalCount': 58896};{'totalCount': 684}
sherlock-project/sherlock;{'totalCount': 50961};{'totalCount': 870}
ollama/ollama;{'totalCount': 53241};{'totalCount': 1127}
jquery/jquery;{'totalCount': 58829};{'totalCount': 2966}
CorentinJ/Real-Time-Voice-Cloning;{'totalCount': 50579};{'totalCount': 119}
shadowsocks/shadowsocks-windows;{'totalCount': 57904};{'totalCount': 479}
danielmiessler/SecLists;{'totalCount': 53259};{'totalCount': 711}
ollama/ollama;{'totalCount': 53241};{'totalCount': 1127}
kelseyhightower/nocode;{'totalCount': 59136};{'totalCount': 156}
3b1b/manim;{'totalCount': 57454};{'totalCount': 780}
swisskyrepo/PayloadsAllTheThings;{'totalCount': 56433};{'totalCount': 618}
lodash/lodash;{'totalCount': 58790};{'totalCount': 1369}
d2l-ai/d2l-zh;{'totalCount': 56150};{'totalCount': 1248}
sdmg15/Best-websites-a-programmer-should-visit;{'totalCount': 55986};{'totalCount': 850}
bradtraversy/design-resources-for-developers;{'totalCount': 55953};{'totalCount': 1293}
tiimgreen/github-cheat-sheet;{'totalCount': 45389};{'totalCount': 156}
bradtraversy/design-resources-for-developers;{'totalCount': 55953};{'totalCount': 1293}
fffaraz/awesome-cpp;{'totalCount': 55105};{'totalCount': 847}
3b1b/manim;{'totalCount': 57454};{'totalCount': 780}
alacritty/alacritty;{'totalCount': 52377};{'totalCount': 2263}
vercel/hyper;{'totalCount': 42563};{'totalCount': 3962}
iamadamdev/bypass-paywalls-chrome;{'totalCount': 46215};{'totalCount': 194}
TheAlgorithms/Java;{'totalCount': 56455};{'totalCount': 3828}
xtekky/gpt4free;{'totalCount': 56287};{'totalCount': 618}
iperov/DeepFaceLab;{'totalCount': 45141};{'totalCount': 124}
psf/requests;{'totalCount': 51269};{'totalCount': 2421}
parcel-bundler/parcel;{'totalCount': 43080};{'totalCount': 2997}
DefinitelyTyped/DefinitelyTyped;{'totalCount': 46991};{'totalCount': 58442}
NationalSecurityAgency/ghidra;{'totalCount': 47255};{'totalCount': 1007}
ryanoasis/nerd-fonts;{'totalCount': 50842};{'totalCount': 524}
sindresorhus/awesome-nodejs;{'totalCount': 55618};{'totalCount': 1099}
scutan90/DeepLearning-500-questions;{'totalCount': 53063};{'totalCount': 334}
labmlai/annotated_deep_learning_paper_implementations;{'totalCount': 46836};{'totalCount': 110}
Textualize/rich;{'totalCount': 46851};{'totalCount': 1000}
Eugeny/tabby;{'totalCount': 54779};{'totalCount': 3898}
JuliaLang/julia;{'totalCount': 44405};{'totalCount': 28017}
algorithm-visualizer/algorithm-visualizer;{'totalCount': 46071};{'totalCount': 225}
prakhar1989/awesome-courses;{'totalCount': 53485};{'totalCount': 251}
psf/requests;{'totalCount': 51269};{'totalCount': 2421}
azl397985856/leetcode;{'totalCount': 53627};{'totalCount': 309}
mastodon/mastodon;{'totalCount': 45804};{'totalCount': 16755}
scutan90/DeepLearning-500-questions;{'totalCount': 53063};{'totalCount': 334}
mozilla/pdf.js;{'totalCount': 46006};{'totalCount': 8147}
facebook/docusaurus;{'totalCount': 52462};{'totalCount': 5821}
minimaxir/big-list-of-naughty-strings;{'totalCount': 45800};{'totalCount': 123}
TryGhost/Ghost;{'totalCount': 45566};{'totalCount': 12948}
iamkun/dayjs;{'totalCount': 45641};{'totalCount': 870}
Asabeneh/30-Days-Of-JavaScript;{'totalCount': 40759};{'totalCount': 381}
nektos/act;{'totalCount': 49720};{'totalCount': 1023}
TryGhost/Ghost;{'totalCount': 45566};{'totalCount': 12948}
DefinitelyTyped/DefinitelyTyped;{'totalCount': 46991};{'totalCount': 58442}
NationalSecurityAgency/ghidra;{'totalCount': 47255};{'totalCount': 1007}
marktext/marktext;{'totalCount': 44420};{'totalCount': 1023}
psf/requests;{'totalCount': 51269};{'totalCount': 2421}
meteor/meteor;{'totalCount': 44012};{'totalCount': 3759}
videojs/video.js;{'totalCount': 37083};{'totalCount': 3080}
soimort/you-get;{'totalCount': 49175};{'totalCount': 943}
GitSquared/edex-ui;{'totalCount': 39757};{'totalCount': 475}
withastro/astro;{'totalCount': 41891};{'totalCount': 6302}
PKUFlyingPig/cs-self-learning;{'totalCount': 47446};{'totalCount': 251}
topjohnwu/Magisk;{'totalCount': 43773};{'totalCount': 2196}
traefik/traefik;{'totalCount': 47559};{'totalCount': 4744}
PKUFlyingPig/cs-self-learning;{'totalCount': 47446};{'totalCount': 251}
OpenInterpreter/open-interpreter;{'totalCount': 46859};{'totalCount': 360}
square/retrofit;{'totalCount': 42562};{'totalCount': 1315}
agalwood/Motrix;{'totalCount': 42947};{'totalCount': 264}
JetBrains/kotlin;{'totalCount': 47361};{'totalCount': 5071}
louislam/uptime-kuma;{'totalCount': 48448};{'totalCount': 1342}
gogs/gogs;{'totalCount': 44048};{'totalCount': 2223}
brillout/awesome-react-components;{'totalCount': 40163};{'totalCount': 373}
n8n-io/n8n;{'totalCount': 40138};{'totalCount': 7375}
cypress-io/cypress;{'totalCount': 46048};{'totalCount': 7352}
chinese-poetry/chinese-poetry;{'totalCount': 46501};{'totalCount': 156}
iamadamdev/bypass-paywalls-chrome;{'totalCount': 46215};{'totalCount': 194}
pmndrs/zustand;{'totalCount': 41944};{'totalCount': 734}
