Repositorio;Estrelas;nÂº Pull Requests
freeCodeCamp/freeCodeCamp;386374;35768
sindresorhus/awesome;297507;1984
public-apis/public-apis;289907;2883
jwasham/coding-interview-university;281707;939
kamranahmedse/developer-roadmap;272407;2700
996icu/996.ICU;268947;1970
donnemartin/system-design-primer;251178;300
donnemartin/system-design-primer;251178;300
vinta/awesome-python;203240;1493
tensorflow/tensorflow;182053;25077
ohmyzsh/ohmyzsh;168204;6815
TheAlgorithms/Python;177380;9161
trekhleb/javascript-algorithms;181401;509
ohmyzsh/ohmyzsh;168204;6815
Significant-Gravitas/AutoGPT;160541;3601
microsoft/vscode;157667;28401
practical-tutorials/project-based-learning;163824;328
flutter/flutter;161241;51918
microsoft/vscode;157667;28401
jlevy/the-art-of-command-line;148008;462
jackfrued/Python-100-Days;149216;147
airbnb/javascript;141481;1481
AUTOMATIC1111/stable-diffusion-webui;127894;2851
ytdl-org/youtube-dl;128144;4418
Snailclimb/JavaGuide;142618;1281
puppeteer/puppeteer;86601;5449
trimstray/the-book-of-secret-knowledge;127767;204
microsoft/PowerToys;103748;5094
trimstray/the-book-of-secret-knowledge;127767;204
trimstray/the-book-of-secret-knowledge;127767;204
justjavac/free-programming-books-zh_CN;108953;432
justjavac/free-programming-books-zh_CN;108953;432
d3/d3;107539;1161
puppeteer/puppeteer;86601;5449
electron/electron;111738;21460
nodejs/node;103346;32458
f/awesome-chatgpt-prompts;102738;281
kubernetes/kubernetes;106365;78254
mrdoob/three.js;98529;15509
goldbergyoni/nodebestpractices;96072;918
angular/angular;94354;26584
angular/angular;94354;26584
microsoft/TypeScript;97642;16986
iluwatar/java-design-patterns;86244;1932
mui/material-ui;91381;21656
denoland/deno;92782;12346
mui/material-ui;91381;21656
storybookjs/storybook;82624;12022
laravel/laravel;76647;4728
gohugoio/hugo;72196;5028
langchain-ai/langchain;81438;10907
fatedier/frp;79032;832
nvbn/thefuck;82595;605
PanJiaChen/vue-element-admin;86118;475
langchain-ai/langchain;81438;10907
leonardomso/33-js-concepts;61714;366
animate-css/animate.css;79665;848
protocolbuffers/protobuf;63432;10101
moby/moby;67623;24366
microsoft/Web-Dev-For-Beginners;81260;780
mtdvio/every-programmer-should-know;76674;142
ripienaar/free-for-dev;82681;3158
macrozheng/mall;75056;110
rustdesk/rustdesk;62021;2720
bitcoin/bitcoin;75289;20193
atom/atom;59952;5249
coder/code-server;65014;1819
neovim/neovim;75900;16557
coder/code-server;65014;1819
doocs/advanced-java;74043;118
doocs/advanced-java;74043;118
DopplerHQ/awesome-interview-questions;66279;209
opencv/opencv;75177;14645
nvm-sh/nvm;75225;1004
hakimel/reveal.js;66777;968
ansible/ansible;60956;50223
sdmg15/Best-websites-a-programmer-should-visit;55986;850
sveltejs/svelte;76137;4571
florinpop17/app-ideas;74648;324
mermaid-js/mermaid;66502;2356
rustdesk/rustdesk;62021;2720
FortAwesome/Font-Awesome;72952;655
twitter/the-algorithm;61206;335
vuejs/awesome-vue;70814;3824
expressjs/express;63631;1216
supabase/supabase;64961;9629
jaywcjlove/awesome-mac;70868;928
mermaid-js/mermaid;66502;2356
home-assistant/core;68297;66230
oven-sh/bun;69990;3238
gohugoio/hugo;72196;5028
moby/moby;67623;24366
lydiahallie/javascript-questions;59297;511
vuejs/awesome-vue;70814;3824
junegunn/fzf;59162;800
NationalSecurityAgency/ghidra;47255;1007
h5bp/Front-end-Developer-Interview-Questions;58896;684
jquery/jquery;58829;2966
rustdesk/rustdesk;62021;2720
reduxjs/redux;60416;2522
FuelLabs/sway;63102;3072
Anduin2017/HowToCook;59765;651
vitejs/vite;64357;5483
python/cpython;59299;48334
2dust/v2rayN;60464;261
junegunn/fzf;59162;800
protocolbuffers/protobuf;63432;10101
enaqx/awesome-react;61663;1276
anuraghazra/github-readme-stats;64306;2015
sdmg15/Best-websites-a-programmer-should-visit;55986;850
bradtraversy/design-resources-for-developers;55953;1293
enaqx/awesome-react;61663;1276
leonardomso/33-js-concepts;61714;366
twitter/the-algorithm;61206;335
TheAlgorithms/Java;56455;3828
ggerganov/llama.cpp;54587;2689
chrislgarry/Apollo-11;56318;437
ansible/ansible;60956;50223
enaqx/awesome-react;61663;1276
lydiahallie/javascript-questions;59297;511
resume/resume.github.com;61308;171
microsoft/playwright;61220;13849
atom/atom;59952;5249
rails/rails;54817;33327
h5bp/html5-boilerplate;55924;1687
h5bp/Front-end-Developer-Interview-Questions;58896;684
sherlock-project/sherlock;50961;870
ollama/ollama;53241;1127
jquery/jquery;58829;2966
CorentinJ/Real-Time-Voice-Cloning;50579;119
shadowsocks/shadowsocks-windows;57904;479
danielmiessler/SecLists;53259;711
ollama/ollama;53241;1127
kelseyhightower/nocode;59136;156
3b1b/manim;57454;780
swisskyrepo/PayloadsAllTheThings;56433;618
lodash/lodash;58790;1369
d2l-ai/d2l-zh;56150;1248
sdmg15/Best-websites-a-programmer-should-visit;55986;850
bradtraversy/design-resources-for-developers;55953;1293
tiimgreen/github-cheat-sheet;45389;156
bradtraversy/design-resources-for-developers;55953;1293
fffaraz/awesome-cpp;55105;847
3b1b/manim;57454;780
alacritty/alacritty;52377;2263
vercel/hyper;42563;3962
iamadamdev/bypass-paywalls-chrome;46215;194
TheAlgorithms/Java;56455;3828
xtekky/gpt4free;56287;618
iperov/DeepFaceLab;45141;124
psf/requests;51269;2421
parcel-bundler/parcel;43080;2997
DefinitelyTyped/DefinitelyTyped;46991;58442
NationalSecurityAgency/ghidra;47255;1007
ryanoasis/nerd-fonts;50842;524
sindresorhus/awesome-nodejs;55618;1099
scutan90/DeepLearning-500-questions;53063;334
labmlai/annotated_deep_learning_paper_implementations;46836;110
Textualize/rich;46851;1000
Eugeny/tabby;54779;3898
JuliaLang/julia;44405;28017
algorithm-visualizer/algorithm-visualizer;46071;225
prakhar1989/awesome-courses;53485;251
psf/requests;51269;2421
azl397985856/leetcode;53627;309
mastodon/mastodon;45804;16755
scutan90/DeepLearning-500-questions;53063;334
mozilla/pdf.js;46006;8147
facebook/docusaurus;52462;5821
minimaxir/big-list-of-naughty-strings;45800;123
TryGhost/Ghost;45566;12948
iamkun/dayjs;45641;870
Asabeneh/30-Days-Of-JavaScript;40759;381
nektos/act;49720;1023
TryGhost/Ghost;45566;12948
DefinitelyTyped/DefinitelyTyped;46991;58442
NationalSecurityAgency/ghidra;47255;1007
marktext/marktext;44420;1023
psf/requests;51269;2421
meteor/meteor;44012;3759
videojs/video.js;37083;3080
soimort/you-get;49175;943
GitSquared/edex-ui;39757;475
withastro/astro;41891;6302
PKUFlyingPig/cs-self-learning;47446;251
topjohnwu/Magisk;43773;2196
traefik/traefik;47559;4744
PKUFlyingPig/cs-self-learning;47446;251
OpenInterpreter/open-interpreter;46859;360
square/retrofit;42562;1315
agalwood/Motrix;42947;264
JetBrains/kotlin;47361;5071
louislam/uptime-kuma;48448;1342
gogs/gogs;44048;2223
brillout/awesome-react-components;40163;373
n8n-io/n8n;40138;7375
cypress-io/cypress;46048;7352
chinese-poetry/chinese-poetry;46501;156
iamadamdev/bypass-paywalls-chrome;46215;194
pmndrs/zustand;41944;734
